,PostId,PostUrl,Platform,ChannelID,ChannelName,ChannelEngagement,post_body_text,published_at,LikesCount,SharesCount,CommentsCount,ViewsCount,FollowersCount,FollowersCommentsRatio
2990,332692858,https://twitter.com/KatieBrittforAL/status/1843393222913163466,Twitter,9724034,Katie Britt,"{""follower_count"":60351,""following_count"":2,""like_count"":null,""post_count"":3188,""views_count"":null,""comment_count"":null,""share_count"":null}","Today marks one year since the horrific attack on Israel. We stand with our friends, remember the victims, and pray for their loved ones, the survivors, and the hostages who are still in captivity. https://t.co/nyzpBcVxrW",2024-10-07T20:49:27.000Z,55,5,17,3472,6035,355.0
2991,332695342,https://twitter.com/VernBuchanan/status/1843392624415388023,Twitter,8644331,Rep. Vern Buchanan,"{""follower_count"":34653,""following_count"":7268,""like_count"":16587,""post_count"":4938,""views_count"":2706741,""comment_count"":null,""share_count"":null}","One year ago today, we witnessed one of the most horrific and heart-wrenching scenes imaginable when Hamas launched their brutal and bloody terrorist attacks on Israel.

One of the hostages still expected to be alive is Sagui Dekel-Chen, an American-Israeli whose mother is a",2024-10-07T20:47:04.000Z,1,0,1,850,3465,3465.0
2992,331933084,https://twitter.com/KariLake/status/1843392524507066436,Twitter,8017524,Kari Lake,"{""follower_count"":2174195,""following_count"":1229,""like_count"":null,""post_count"":38152,""views_count"":null,""comment_count"":null,""share_count"":null}","Watch @AbrahamHamadeh‘ Full Remarks at @KariLake's Press Conference. 

""This wasn't just an attack on Israel. It Is an attack on humanity. And let me also be clear. America First doesn't mean America alone. We have to stand strong with our allies and defeat our enemies together."" https://t.co/QqU1vwDebN",2024-10-07T20:46:41.000Z,911,233,38,62601,217419,5721.5526315789475
2993,330854097,https://twitter.com/QasimRashid/status/1843391791846060542,Twitter,9408228,"Qasim Rashid, Esq.","{""follower_count"":343757,""following_count"":349,""like_count"":null,""post_count"":21202,""views_count"":null,""comment_count"":null,""share_count"":null}","After I wrote an article citing ADL's data to prove that 100% of antisemitic attacks are from the Right, ADL censured access to its own data—then changed its definition of antisemitism to include criticism of the state of Israel. Deeply flawed &amp; unethical 
https://t.co/pqlCZqn7zL",2024-10-07T20:43:46.000Z,463,197,3,30819,34375,11458.333333333334
2994,332929133,https://twitter.com/Villaverde4NC/status/1843391664016240773,Twitter,9721590,Christine Villaverde,"{""follower_count"":10646,""following_count"":10670,""like_count"":25879,""post_count"":7446,""views_count"":87120375,""comment_count"":null,""share_count"":null}",RT @Franklin_Graham: It is already October 7 in Israel—the one-year anniversary of the horrific Hamas attack.  Join me in praying for peace…,2024-10-07T20:43:15.000Z,0,1962,0,0,1064,inf
2995,332445932,https://twitter.com/EricHovde/status/1843391650871365922,Twitter,15957225,Eric Hovde,"{""follower_count"":21219,""following_count"":1048,""like_count"":597,""post_count"":2716,""views_count"":90429,""comment_count"":null,""share_count"":null}","My thoughts and prayers are with our friends in Israel who today are commemorating the barbaric acts that occurred one year ago on October 7, 2023. 

We must never allow the world to forget the horrors of that day. 🇮🇱",2024-10-07T20:43:12.000Z,136,28,22,5378,2121,96.4090909090909
2996,330434591,https://twitter.com/cenkuygur/status/1843391262084534717,Twitter,7828091,Cenk Uygur,"{""follower_count"":641370,""following_count"":1655,""like_count"":null,""post_count"":34503,""views_count"":null,""comment_count"":null,""share_count"":null}","@60Minutes This is a great question because it exposes the obvious fact that we do have leverage! Israel is not agreeing to anything we say because we refuse to use the $26 billion we have in leverage. Here, Harris is saying she will never use that leverage. A terrible answer.",2024-10-07T20:41:40.000Z,44,2,9,2703,64137,7126.333333333333
2997,332695707,https://twitter.com/RepHankJohnson/status/1843391162515894717,Twitter,7420715,Rep. Hank Johnson,"{""follower_count"":56736,""following_count"":1748,""like_count"":null,""post_count"":9818,""views_count"":null,""comment_count"":null,""share_count"":null}","Today marks one year since the horrific attack on Israel, and the devastating loss of life that has occurred since. I continue to call for the immediate release of all hostages and a full and permanent ceasefire in fighting. Let us all pray for peace and stability in the region.",2024-10-07T20:41:16.000Z,4,1,1,542,5673,5673.0
2998,332702705,https://twitter.com/RepMarkAlford/status/1843391131591319779,Twitter,16017342,Rep. Mark Alford,"{""follower_count"":8746,""following_count"":376,""like_count"":null,""post_count"":2208,""views_count"":null,""comment_count"":null,""share_count"":null}","October 7th marks the darkest day for the Jewish people since the Holocaust. Iran and terrorist groups are still trying to destroy Israel.

The United States honors the lives lost and continues to stand firmly by its ally. 🇮🇱🇺🇸",2024-10-07T20:41:08.000Z,21,3,3,935,874,291.3333333333333
2999,332698736,https://twitter.com/RepLangworthy/status/1843390849260130686,Twitter,16600529,Congressman Nick Langworthy,"{""follower_count"":5712,""following_count"":1091,""like_count"":56411,""post_count"":2259,""views_count"":55810286,""comment_count"":16033,""share_count"":267158}","One year ago, on October 7th, terrorists launched a brutal attack on Israel, leaving a deep and painful scar on the nation. 

I visited soon after and saw the devastation firsthand—homes destroyed, families torn apart, and entire communities struggling to heal. But I also saw https://t.co/AZ5un7lcLr",2024-10-07T20:40:01.000Z,8,1,1,384,571,571.0
